0	209000000	7362
1	209007363	1256
2	209008620	4223
3	209012844	25857
4	209038702	8271
5	209046974	1003
6	209047978	3078
7	209051057	15055
8	209066113	4441
9	209070555	4113
10	209074669	4298
11	209078968	3784
12	209082753	1069
13	209083823	4222
14	209088046	11397
15	209099444	9036
16	209108481	909
17	209109391	4437
18	209113829	766
19	209114596	766
20	209115363	770
21	209116134	770
22	209116905	765
23	209117671	762
24	209118434	762
25	209119197	775
26	209119973	772
27	209120746	763
28	209121510	767
29	209122278	763
30	209123042	774
31	209123817	772
32	209124590	775
33	209125366	765
34	209126132	765
35	209126898	774
36	209127673	774
37	209128448	882
38	209129331	1246
39	209130578	9417
40	209139996	1251
41	209141248	1867
42	209143116	12731
43	209155848	267488
44	209423337	1037
45	209424375	1020
46	209425396	5253
47	209430650	394229
48	209824880	1498
49	209826379	763
50	209827143	1097
51	209828241	7717
52	209835959	1413
53	209837373	1030
54	209838404	1429
55	209839834	1027
56	209840862	1891
57	209842754	1460
58	209844215	1072
59	209845288	12727
60	209858016	9168
61	209867185	4934
62	209872120	12620
63	209884741	11091
64	209895833	12394
65	209908228	2565
66	209910794	1399
67	209912194	3249
68	209915444	2399
69	209917844	1497
70	209919342	1778
71	209921121	5253
72	209926375	4010
73	209930386	746
74	209931133	20500
75	209951634	22232
76	209973867	11595
77	209985463	4231
78	209989695	24003
79	210013699	8996
80	210022696	10362
81	210033059	9092
82	210042152	9142
83	210051295	9996
84	210061292	1606
85	210188837	909
86	210191171	319
87	210192631	260
88	210194862	230
89	210195103	254
90	210215675	206
91	210220361	2804
92	210223811	770
93	210225430	176
94	210228038	2048
95	210230114	268
96	210230383	2120
97	210232544	1502
98	210234047	1319
99	210235622	3863
100	210240142	288
101	211909121	4972
102	211914094	5380
103	212776767	131
104	212791127	714
105	212791873	770
106	212792795	516
107	212794078	470
108	212796427	152
109	212798470	162
110	212798643	142
111	212798934	2202
112	212801168	3944
113	212805113	828
114	212805966	141
115	212806525	155
116	212807403	1611
117	212809017	2071
118	213856062	1443
119	213857537	1596
120	213859900	217
121	213862089	159
122	213862259	285
123	213862545	168
124	213862766	490
125	213863405	2523
126	213865969	1546
127	213867516	1212
128	213868984	824
129	214298851	1821
130	214300673	2668
131	214303342	1897
132	214340150	6711
133	214390115	3850
134	214393966	5840
135	214405604	5565
136	214415305	5847
137	214421153	6670
138	214427824	5714
139	214441630	7976
140	214449607	4132
141	214453740	1629
142	214501546	3741
143	214648683	1471
144	214677382	7500
145	214691080	5462
146	214713798	6916
147	214731893	1865
148	214733759	7074
149	214779666	6162
150	214956878	1939
151	214958818	1971
152	215742553	409
153	215742963	900
154	215750593	789
155	215751383	6002
156	215762775	936
157	215763712	7747
158	215771460	1037
159	215779832	1198
160	215785162	659
161	215793172	443
162	215793616	476
163	215794093	6098
164	215800192	678
165	215821254	5572
166	215826827	4487
167	215848527	6517
168	215863791	4456
169	215868248	231
170	215917035	4404
171	216009826	22034
172	216031861	19356
173	216236066	7733
174	216268271	1591
175	216282398	2586
176	216284985	2380
177	216313083	5840
178	216318924	6193
179	216375148	1542
180	216382312	2032
181	216384345	3534
182	216387880	3316
183	216391197	3021
184	216394219	3591
185	216404626	4096
186	216654632	187
187	216658748	183
